"dt","AverageTemperature","country"
"2012-01-01",5.145,"Andorra"
"2012-02-01",1.705,"Andorra"
"2012-03-01",9.405,"Andorra"
"2012-04-01",9.752,"Andorra"
"2012-05-01",15.136,"Andorra"
"2012-06-01",18.817,"Andorra"
"2012-07-01",20.512,"Andorra"
"2012-08-01",22.514,"Andorra"
"2012-09-01",17.539,"Andorra"
"2012-10-01",13.261,"Andorra"
"2012-11-01",8.62,"Andorra"
"2012-12-01",5.673,"Andorra"
"2012-01-01",23.29,"Argentina"
"2012-02-01",21.487,"Argentina"
"2012-03-01",19.34,"Argentina"
"2012-04-01",14.663,"Argentina"
"2012-05-01",12.433,"Argentina"
"2012-06-01",8.353,"Argentina"
"2012-07-01",6.98,"Argentina"
"2012-08-01",10.842,"Argentina"
"2012-09-01",13.931,"Argentina"
"2012-10-01",16.311,"Argentina"
"2012-11-01",19.677,"Argentina"
"2012-12-01",20.961,"Argentina"
"2012-01-01",-2.78,"Armenia"
"2012-02-01",-5.479,"Armenia"
"2012-03-01",0.363,"Armenia"
"2012-04-01",12.004,"Armenia"
"2012-05-01",16.084,"Armenia"
"2012-06-01",20.418,"Armenia"
"2012-07-01",22.252,"Armenia"
"2012-08-01",23.687,"Armenia"
"2012-09-01",18.592,"Armenia"
"2012-10-01",13.265,"Armenia"
"2012-11-01",6.766,"Armenia"
"2012-12-01",-0.963,"Armenia"
"2012-01-01",27.904,"Australia"
"2012-02-01",27.2,"Australia"
"2012-03-01",24.699,"Australia"
"2012-04-01",22.208,"Australia"
"2012-05-01",17.762,"Australia"
"2012-06-01",14.674,"Australia"
"2012-07-01",14.027,"Australia"
"2012-08-01",16.408,"Australia"
"2012-09-01",20.474,"Australia"
"2012-10-01",23.586,"Australia"
"2012-11-01",26.935,"Australia"
"2012-12-01",28.417,"Australia"
"2012-01-01",22.52,"Bahamas"
"2012-02-01",23.599,"Bahamas"
"2012-03-01",24.291,"Bahamas"
"2012-04-01",24.488,"Bahamas"
"2012-05-01",26.476,"Bahamas"
"2012-06-01",27.932,"Bahamas"
"2012-07-01",28.748,"Bahamas"
"2012-08-01",28.988,"Bahamas"
"2012-09-01",28.259,"Bahamas"
"2012-10-01",26.903,"Bahamas"
"2012-11-01",23.789,"Bahamas"
"2012-12-01",23.804,"Bahamas"
"2012-01-01",16.301,"Bahrain"
"2012-02-01",17.295,"Bahrain"
"2012-03-01",19.899,"Bahrain"
"2012-04-01",26.471,"Bahrain"
"2012-05-01",33.398,"Bahrain"
"2012-06-01",35.773,"Bahrain"
"2012-07-01",37.471,"Bahrain"
"2012-08-01",36.749,"Bahrain"
"2012-09-01",33.648,"Bahrain"
"2012-10-01",30.131,"Bahrain"
"2012-11-01",24.035,"Bahrain"
"2012-12-01",19.181,"Bahrain"
"2012-01-01",4.425,"Belgium"
"2012-02-01",0.116,"Belgium"
"2012-03-01",8.578,"Belgium"
"2012-04-01",8.408,"Belgium"
"2012-05-01",14.479,"Belgium"
"2012-06-01",15.301,"Belgium"
"2012-07-01",17.617,"Belgium"
"2012-08-01",19.277,"Belgium"
"2012-09-01",14.538,"Belgium"
"2012-10-01",10.501,"Belgium"
"2012-11-01",6.583,"Belgium"
"2012-12-01",4.399,"Belgium"
"2012-01-01",23.54,"Belize"
"2012-02-01",24.673,"Belize"
"2012-03-01",25.464,"Belize"
"2012-04-01",26.86,"Belize"
"2012-05-01",27.61,"Belize"
"2012-06-01",27.307,"Belize"
"2012-07-01",26.806,"Belize"
"2012-08-01",26.893,"Belize"
"2012-09-01",27.05,"Belize"
"2012-10-01",25.326,"Belize"
"2012-11-01",23.542,"Belize"
"2012-12-01",23.742,"Belize"
"2012-01-01",22.889,"Bolivia"
"2012-02-01",22.507,"Bolivia"
"2012-03-01",22.394,"Bolivia"
"2012-04-01",21.71,"Bolivia"
"2012-05-01",19.898,"Bolivia"
"2012-06-01",18.334,"Bolivia"
"2012-07-01",17.679,"Bolivia"
"2012-08-01",20.173,"Bolivia"
"2012-09-01",22.869,"Bolivia"
"2012-10-01",23.905,"Bolivia"
"2012-11-01",23.592,"Bolivia"
"2012-12-01",23.336,"Bolivia"
"2012-01-01",25.399,"Brazil"
"2012-02-01",25.653,"Brazil"
"2012-03-01",25.783,"Brazil"
"2012-04-01",25.675,"Brazil"
"2012-05-01",24.891,"Brazil"
"2012-06-01",24.578,"Brazil"
"2012-07-01",24.171,"Brazil"
"2012-08-01",25.349,"Brazil"
"2012-09-01",26.728,"Brazil"
"2012-10-01",27.12,"Brazil"
"2012-11-01",26.683,"Brazil"
"2012-12-01",26.575,"Brazil"
"2012-01-01",-20.472,"Canada"
"2012-02-01",-16.499,"Canada"
"2012-03-01",-13.599,"Canada"
"2012-04-01",-5.276,"Canada"
"2012-05-01",4.045,"Canada"
"2012-06-01",11.008,"Canada"
"2012-07-01",14.796,"Canada"
"2012-08-01",13.045,"Canada"
"2012-09-01",7.907,"Canada"
"2012-10-01",-1.814,"Canada"
"2012-11-01",-12.093,"Canada"
"2012-12-01",-19.17,"Canada"
"2012-01-01",22.693,"Cape Verde"
"2012-02-01",21.677,"Cape Verde"
"2012-03-01",23.31,"Cape Verde"
"2012-04-01",22.872,"Cape Verde"
"2012-05-01",24.78,"Cape Verde"
"2012-06-01",25.131,"Cape Verde"
"2012-07-01",26.459,"Cape Verde"
"2012-08-01",28.134,"Cape Verde"
"2012-09-01",28.346,"Cape Verde"
"2012-10-01",27.78,"Cape Verde"
"2012-11-01",26.365,"Cape Verde"
"2012-12-01",23.695,"Cape Verde"
"2012-01-01",15.435,"Chile"
"2012-02-01",14.048,"Chile"
"2012-03-01",13.561,"Chile"
"2012-04-01",10.131,"Chile"
"2012-05-01",8.043,"Chile"
"2012-06-01",5.741,"Chile"
"2012-07-01",5.072,"Chile"
"2012-08-01",6.901,"Chile"
"2012-09-01",8.94,"Chile"
"2012-10-01",10.114,"Chile"
"2012-11-01",12.337,"Chile"
"2012-12-01",12.948,"Chile"
"2012-01-01",25.143,"Colombia"
"2012-02-01",25.453,"Colombia"
"2012-03-01",25.51,"Colombia"
"2012-04-01",24.977,"Colombia"
"2012-05-01",25.334,"Colombia"
"2012-06-01",25.659,"Colombia"
"2012-07-01",25.312,"Colombia"
"2012-08-01",25.529,"Colombia"
"2012-09-01",25.613,"Colombia"
"2012-10-01",25.243,"Colombia"
"2012-11-01",25.575,"Colombia"
"2012-12-01",25.228,"Colombia"
"2012-01-01",25.706,"Costa Rica"
"2012-02-01",26.717,"Costa Rica"
"2012-03-01",27.232,"Costa Rica"
"2012-04-01",27.044,"Costa Rica"
"2012-05-01",27.056,"Costa Rica"
"2012-06-01",26.786,"Costa Rica"
"2012-07-01",26.5,"Costa Rica"
"2012-08-01",26.794,"Costa Rica"
"2012-09-01",26.039,"Costa Rica"
"2012-10-01",24.912,"Costa Rica"
"2012-11-01",25.125,"Costa Rica"
"2012-12-01",25.473,"Costa Rica"
"2012-01-01",0.281,"Czech Republic"
"2012-02-01",-4.549,"Czech Republic"
"2012-03-01",6.145,"Czech Republic"
"2012-04-01",8.842,"Czech Republic"
"2012-05-01",14.982,"Czech Republic"
